gene_id,yH1053.Scer.noPi.0m.rep1,yH1053.Scer.noPi.0m.rep2,yH1053.Scer.noPi.15m.rep1,yH1053.Scer.noPi.15m.rep2,yH1053.Scer.noPi.30m.rep1,yH1053.Scer.noPi.30m.rep2,yH1053.Scer.noPi.45m.rep1,yH1053.Scer.noPi.45m.rep2,yH1053.Scer.noPi.60m.rep1,yH1053.Scer.noPi.60m.rep2,yH1053.Scer.noPi.90m.rep1,yH1053.Scer.noPi.90m.rep2,yH1053.Scer.noPi.120m.rep1,yH1053.Scer.noPi.120m.rep2,yH1053.Scer.noPi.180m.rep1,yH1053.Scer.noPi.180m.rep2,yH1053.Scer.noPi.240m.rep1,yH1053.Scer.noPi.240m.rep2,yH1053.Scer.noPi.360m.rep1,yH1053.Scer.noPi.360m.rep2,yH1053.Scer.noPi.480m.rep1,yH1053.Scer.noPi.480m.rep2,yH1053.Scer.mock.30m.rep1,yH1053.Scer.mock.30m.rep2,yH1053.Scer.mock.60m.rep1,yH1053.Scer.mock.60m.rep2
Q0285,0.8057373380654675,0.8926219681222664,1.2104699826729224,0.8998306887116586,0.9022131519315327,0.8027543077465988,1.0030831110866765,0.8068576866746802,1.049363052717868,1.052476247066959,0.8873481236258304,0.9576762470895956,1.0141982882431613,0.9775821866968771,0.983346615984261,0.8729406828525377,0.9045848980286496,0.9889340313763307,0.9112953284567207,1.285950631434757,1.0594247035606466,1.203238621044533,0.8463176735870854,0.9962943519148472,1.2379362366608482,0.9907479151156218
YAL001C,10.076435250102419,9.955331930308224,9.949421110855903,9.750476601918383,10.06833896307091,10.15280210942999,10.141651373677975,10.25083230427788,9.98641069842424,9.972591984134912,10.200687445634296,9.955159923856975,10.13959868069791,10.04546307799595,10.2964712545185,10.208998696812143,10.367177922733903,10.402163036596203,10.809464166231551,10.77766805607742,10.995837988190864,10.933697926348156,9.713619305312228,9.805044845747751,9.816664791345653,9.828158701247538
YAL002W,9.762940153795775,9.732113065488054,9.700644966013039,9.969035797030815,9.823205258348235,10.357394722145013,10.264647010267591,10.43969581672215,10.008504333109782,10.024905104848067,9.928829045217427,9.983959768067379,10.055606520821277,10.169689407237199,10.14998736911106,10.235960418118225,10.326375757722419,10.330335158869469,11.177033145909565,11.02237878303659,11.324724456408365,11.481448883822988,9.850336998649839,10.06273802656821,9.795007158881235,9.988703986242248
YAL003W,14.44807569895759,14.518515380015897,14.49531925238576,14.134996473328,13.541391812082724,13.52258642116616,13.37399553971825,13.612495602251089,13.515978684236716,13.639063904541313,14.206989908570181,14.082151682291705,13.94197916578416,14.195679332826687,13.725920550107254,14.029976516939627,13.681759074661514,13.707597726029423,13.080008241448427,13.151787998768356,12.490622835439247,12.692903755124268,14.385687523795408,14.117002289438856,14.390584958126546,14.490550112593382
YAL005C,12.77944715319925,13.007931554780864,16.13359123592446,16.280108875920728,15.074926536452635,15.77285554265352,16.434437300108986,16.576739065343478,15.899099552887893,16.297095453190103,15.62211781646083,15.864072314984897,15.668020152951124,15.950962204348922,15.631793709506269,15.908204696447331,16.26576057645486,16.447828838964845,16.3533273887713,16.549468347537914,15.485476539435442,15.89398141496716,15.97295734276938,15.982071355236794,15.745390169404091,15.788881586116887
YAL007C,10.850700663010173,10.912027251827887,11.286727862904527,10.42309636770775,10.47429905460352,10.09680119951542,9.974103911153737,10.168722190389445,10.101607399093725,10.150871144528626,10.822126272387989,10.520477988051917,10.398172474168566,10.51867273154432,10.096386842865494,10.115764827159932,10.048966542391186,10.042912778553521,9.007821086313198,8.847582771849712,8.200145469079935,8.35944941184214,10.025179754060046,10.197257223620356,10.455142744851706,10.439103809333023
YAL008W,9.377514118432776,9.415421205510015,10.450016603899504,10.20581454200375,10.622647982901453,10.18145678397035,10.64461700293647,10.357091224466854,10.673328005803276,10.48059129616471,10.464536353159625,10.298646133278131,10.446311453656683,10.38196229736758,10.668218579078596,10.254058196757134,10.96490120607233,10.765883095375617,11.243706829821605,11.25228473098141,11.451037426766097,11.468863882560315,10.025846438475092,9.760763457195194,10.142353809539904,9.79508898569025
YAL009W,9.045626160429741,9.009385088832838,9.662326169909136,9.120539722476533,9.314685297094796,8.934935225541118,9.123043644915528,8.984897877808848,9.192086751520204,9.097918336096491,9.346434542065259,9.130496559413663,9.139467683084012,9.162192120440908,9.223907532896774,9.018670969721725,9.331058927685334,9.179884182297364,9.428466247008226,9.269117673327838,9.625187858245276,9.673334263292041,8.78284624756953,8.861749661344446,8.903979064625545,8.84307895702046
YAL010C,8.337901113133428,8.467660006548877,8.644419101948492,9.030209540481483,8.97966452103309,9.024213283249235,8.8156677354528,8.790773210079031,8.875168846736567,8.779075128882726,8.551711840062719,8.828062910176236,8.912396141731788,8.836474412779378,8.887875306513635,8.84325243681044,8.712124181607619,8.893119360497842,8.787207839126891,8.872727142371577,8.714268822046922,8.415930477102952,8.506622417628499,8.624259174542562,8.449996363029316,8.433969534705561
YAL011W,9.784976953814079,9.650407520847127,9.352063622160609,9.367215028780281,9.04048533808411,9.500042217098404,9.566599659507363,9.602834415601482,9.52105523672353,9.70311192064634,9.558043505007147,9.610919555225262,9.88556964536687,9.854504905546102,9.79245576233652,9.785843096719603,9.915299694382671,9.790158287968955,10.10492707858376,10.243044163509417,10.345309373036919,10.434264751713009,9.386921904182229,9.566132767009695,9.730943508645298,9.812257785990367
